date,sigma_all_observed,sigma_balanced,sigma_balanced_ex_kwuntong
2009-11-30,0.16384206083425593,,0.16384206083425593
2009-12-31,0.28273495729098935,,0.28273495729098935
2010-01-31,0.2639586022795435,,0.2639586022795435
2010-02-28,0.2617792273865239,,0.2617792273865239
2010-03-31,0.22508949264370096,,0.22508949264370096
2010-04-30,0.3097488842480259,,0.3097488842480259
2010-05-31,0.21747378739795212,,0.21747378739795212
2010-06-30,0.29582759178372864,,0.29582759178372864
2010-07-31,0.24394400474479086,,0.24394400474479086
2010-08-31,0.28017415168178683,,0.28017415168178683
2010-09-30,0.25689051848720823,,0.25689051848720823
2010-10-31,0.30140157355703884,,0.30140157355703884
2010-11-30,0.18741733338790845,,0.18741733338790845
2010-12-31,0.2880956905033098,,0.2880956905033098
2011-01-31,0.21765459159042477,,0.21765459159042477
2011-02-28,0.3589228805372564,,
2011-03-31,0.30196416777880714,,0.30196416777880714
2011-04-30,0.30524534298410816,,0.30524534298410816
2011-05-31,0.26653265427980105,,0.26653265427980105
2011-06-30,0.3386893006062026,,0.3386893006062026
2011-07-31,0.23462090910575445,,0.23462090910575445
2011-08-31,0.2366346742469132,,0.2366346742469132
2011-09-30,0.1713677578372377,,0.1713677578372377
2011-10-31,0.2790201251163454,,0.2790201251163454
2011-11-30,0.18525684558790256,,0.18525684558790256
2011-12-31,0.22269210479113735,,0.22269210479113735
2012-01-31,0.32027479723063956,,0.32027479723063956
2012-02-29,0.25732712635526994,,0.25732712635526994
2012-03-31,0.2506818345156405,,0.2506818345156405
2012-04-30,0.3392959942739631,,0.3392959942739631
2012-05-31,0.33844627448303183,,0.33844627448303183
2012-06-30,0.1964910686686957,,0.1964910686686957
2012-07-31,0.3779302938369692,,0.3779302938369692
2012-08-31,0.4006582046436114,,0.4006582046436114
2012-09-30,0.3383773951969876,,0.3383773951969876
2012-10-31,0.18916180584620926,,0.18916180584620926
2012-11-30,0.18007302769618963,,0.18007302769618963
2012-12-31,0.3331883516505152,,0.3331883516505152
2013-01-31,0.2684194187268492,,0.2684194187268492
2013-02-28,0.37085403548721624,0.37085403548721624,0.27525205703410355
2013-03-31,0.32290447592882365,0.32290447592882365,0.24532705063875504
2013-04-30,0.3400888153427998,0.3400888153427998,0.24784122973601633
2013-05-31,0.37058699615176005,0.37058699615176005,0.3092349032327444
2013-06-30,0.31199133196275347,0.31199133196275347,0.2577487362881581
2013-07-31,0.35980871971153683,0.35980871971153683,0.25983779212259045
2013-08-31,0.31796520572102477,0.31796520572102477,0.21003255541595917
2013-09-30,0.25681343291596626,0.25681343291596626,0.184734057857073
2013-10-31,0.42001381491559403,0.42001381491559403,0.3864946620144836
2013-11-30,0.2707845025341434,0.2707845025341434,0.18053180304402638
2013-12-31,0.34813169862654164,0.34813169862654164,0.2582810655440821
2014-01-31,0.2952086285298751,0.2952086285298751,0.2040879997515386
2014-02-28,0.2733346635287672,0.2733346635287672,0.1822753370626317
2014-03-31,0.2997046685663073,0.2997046685663073,0.18451813909184597
2014-04-30,0.384394480806994,0.384394480806994,0.28736692331667696
2014-05-31,0.3465367283166044,0.3465367283166044,0.27145373229023606
2014-06-30,0.26146486014004267,0.26146486014004267,0.19241487406559832
2014-07-31,0.2715184316716802,0.2715184316716802,0.14773723461030291
2014-08-31,0.21396498580430828,0.21396498580430828,0.15687811778755073
2014-09-30,0.2716148803569759,0.2716148803569759,0.19077472457152397
2014-10-31,0.2711717594287045,0.2711717594287045,0.14218669910305723
