date,bsadf,cv90,cv95,cv99,cv95_wb,y
2000-02-29,-0.840479256405804,-0.002227740023139995,0.3566927933928621,0.8584999531581083,0.14095277008418783,0.3115545086582627
2000-03-31,-0.7785448915914183,0.02138195105978548,0.370024440874576,0.9257491371987118,0.10073525775299513,0.29153699224222623
2000-04-30,-0.7690288220396588,0.05166461784085752,0.43566565039676114,1.024713968103974,0.06943615524474597,0.2767375677962872
2000-05-31,-0.6583429513155367,0.015205099038800522,0.3749642336451263,1.1630643413162711,0.17104388119711925,0.23905012361374456
2000-06-30,-0.5575281380481523,0.018030017305825336,0.3881672872057586,1.1061897219666212,0.09475014960380192,0.19448829555383368
2000-07-31,-0.6938392638682794,-0.02167063074718378,0.33085243872760145,1.0355535407236212,0.08303790248482051,0.2028542426658623
2000-08-31,-0.7377628981155447,-0.07421154229661202,0.3417652127219256,1.0702153902680684,0.06766327950763583,0.21259162109671098
2000-09-30,-0.7774749135618055,-0.015990948462827212,0.31120968864911297,0.9857888876759054,0.030391018622831584,0.22257681851354938
2000-10-31,-0.7071949439138682,-0.04541170194702323,0.3435750510275288,1.029899089324259,0.008397020873126528,0.20887797415538742
2000-11-30,-0.5693366692999229,-0.029290613969684864,0.37199617524032585,1.0576539216221559,0.06308401238563412,0.16879340459290249
2000-12-31,-0.570294771578557,-0.013982707555879681,0.2792117086725019,1.072468376179205,0.014481519081798074,0.1486645337904783
2001-01-31,-0.5645655889818622,-0.006430562955523638,0.26038557968730786,1.0217646487329628,0.0014233752477727612,0.13654531211190635
2001-02-28,-0.6243268096460962,-0.002414357610485376,0.3256324655823377,0.9752372479498418,-0.03900770099728744,0.14032319710599062
2001-03-31,-0.7437593649625007,0.017946476368587566,0.3495158707855952,0.992210600321018,-0.00555771751185386,0.16230400669005574
2001-04-30,-0.6796548251427428,0.013612834222527154,0.3341337391949228,1.117835060147558,-0.03688572415892068,0.15780699103036885
2001-05-31,-0.6129752067533264,0.03846942652934574,0.29582069393060595,1.0270530385191616,-0.041711690167062804,0.13976194237515863
2001-06-30,-0.6827201125889596,0.008341399241266144,0.32095042412323443,1.0709484977711101,-0.07666071265650971,0.144718582015087
2001-07-31,-0.6330485065892997,0.05823019252872497,0.31343746364277186,0.9254426075792286,-0.10213355177876292,0.1346007208319245
2001-08-31,-0.590018288068491,0.05508972035200441,0.3020553857260568,0.8526292505468668,-0.09685502330932924,0.11889830702188452
2001-09-30,-0.5466012547314673,0.05582677561427745,0.38892482383341503,0.8783543376468771,-0.07286493712714952,0.1007654472624037
2001-10-31,-0.2924481320888139,0.025734214015541178,0.3084768883321669,0.9232964846368719,0.03458572709847101,0.06121521453556288
2001-11-30,-0.17622440263039005,0.04805196199618063,0.3015379146273568,0.8896283878777559,-0.011336883323261517,0.05444470796835232
2001-12-31,-0.6450212515656327,0.0760195224980511,0.2876287824281891,0.8237213286037437,0.08588802584164888,0.08185102643032004
2002-01-31,-0.6148041058230447,0.05952787396744998,0.3296239602277241,0.9119473487206656,0.05306772407217969,0.08590782712593442
2002-02-28,-0.5606021101875261,0.005450357198939901,0.3559260277665155,1.00929912215095,0.08471880125343048,0.08173561479868961
2002-03-31,-0.4561047449058439,0.0342294057787596,0.331089417370761,1.0953087758943651,0.07488915762333798,0.07065084231586148
2002-04-30,-0.3895787119181271,0.04055747031837295,0.3308670171762115,1.0892721670752268,0.07011218430494492,0.059846916009252356
2002-05-31,-0.5288843493549987,0.04652359138533801,0.3909355497909837,1.1076050961535893,0.022656752999572927,0.06564410444532097
2002-06-30,-0.4510688120532727,0.08917581153846725,0.40953702037098955,1.1766676007164336,-0.013174202510919367,0.06019008480877181
2002-07-31,-0.3257199268183948,0.05172505087122541,0.42425116369522803,1.193753365794216,-0.023394565815493307,0.04618425361985248
2002-08-31,0.0019281466944771047,0.09405774537240807,0.3931144207163628,1.1114000716002457,0.14906110886674642,0.01178216869826017
2002-09-30,0.053534757779695324,0.05679308278194949,0.4234172484974667,1.0389910156604842,0.08506506280821483,-0.007468294607525799
2002-10-31,0.18821563865493096,0.10080616602853408,0.4678165182323829,1.2106006213721106,0.030060130365709092,-0.027150989065950745
2002-11-30,0.07903809540737276,0.12067907300734251,0.4207637248943122,1.0738446322686246,0.04625517432662457,-0.030259494763112533
2002-12-31,0.03685548169737202,0.08824441670030334,0.40903062605524476,1.2149651818175728,0.01407421077813466,-0.03189336377595385
2003-01-31,0.25598949591151077,0.12487790157123349,0.4860834705789276,1.2276693690071625,0.12486473115742078,-0.05058549678810634
2003-02-28,0.1139206145231657,0.07715606175480762,0.5346201500285482,1.0997023455267598,0.07345330349051099,-0.05074109147839781
2003-03-31,0.5846437478961205,0.07500623207168576,0.37623007502709177,1.2286752643895587,0.24786480129431085,-0.08755589102431952
2003-04-30,0.5295213354864873,0.07485945869473974,0.4155239862518336,1.2769980962773757,0.2710691724330746,-0.10055560209738713
2003-05-31,0.43193097045189177,0.07087244887400787,0.44717312017145494,1.3059785412845901,0.2625748949011822,-0.10334844254440614
